PID;USUARIO;PR;NI;VIRT;RES;SHR;S;%CPU;%MEM;TEMPO+;COMANDO
1775;felipe;20;0;351156;12268;11864;S;0,0;0,2;0:00.01;gsd-printer
1778;felipe;20;0;645588;22672;21324;S;0,0;0,3;0:00.29;evolution-alarm
1785;felipe;20;0;231800;4216;3808;S;0,0;0,1;0:00.01;gsd-disk-utilit
1820;felipe;20;0;171868;5716;5444;S;0,0;0,1;0:00.06;ibus-engine-sim
1860;felipe;20;0;1231644;10692;6780;S;0,0;0,1;0:07.24;snap-store
1878;felipe;20;0;540316;5272;4972;S;0,0;0,1;0:00.58;xdg-document-po
1897;felipe;20;0;156364;5120;4524;S;0,0;0,1;0:00.10;dconf-service
1901;felipe;20;0;756300;12260;11836;S;0,0;0,2;0:00.07;evolution-addre
2660;felipe;20;0;171260;5636;5144;S;0,0;0,1;0:18.94;gvfsd-metadata
2663;felipe;20;0;470360;24332;22796;S;0,0;0,3;0:00.48;update-notifier
3472;felipe;20;0;18132;2324;2064;S;0,0;0,0;0:00.01;brave-browser-s
3478;felipe;20;0;16860;552;488;S;0,0;0,0;0:00.00;cat
3479;felipe;20;0;16860;552;488;S;0,0;0,0;0:00.00;cat
3480;felipe;20;0;32,9g;376924;108396;S;0,0;4,7;4:47.51;brave
3504;felipe;20;0;32,3g;33516;21580;S;0,0;0,4;0:00.02;brave
3505;felipe;20;0;32,3g;33512;21576;S;0,0;0,4;0:00.02;brave
3507;felipe;20;0;32,3g;15296;3368;S;0,0;0,2;0:00.16;brave
3526;felipe;20;0;32,6g;238436;100444;S;0,0;3,0;12:03.18;brave
3533;felipe;20;0;32,4g;64628;37836;S;0,0;0,8;1:11.08;brave
3540;felipe;20;0;32,3g;29880;4836;S;0,0;0,4;0:00.02;brave
3550;felipe;20;0;32,3g;31808;18624;S;0,0;0,4;0:02.16;brave
3555;felipe;20;0;32,3g;41500;29156;S;0,0;0,5;0:01.39;brave
3574;felipe;20;0;36,4g;136340;56500;S;0,0;1,7;0:14.02;brave
3662;felipe;20;0;36,4g;68208;49436;S;0,0;0,8;0:00.25;brave
3678;felipe;20;0;203636;23540;9136;S;0,0;0,3;0:00.13;chrome-gnome-sh
3700;felipe;20;0;32,3g;60156;22684;S;0,0;0,7;0:02.98;brave
